Entity,Code,Year,"CO2 mitigation curves for 2C (Andrews & GCP, 2019)"
Start in 2009,,2014,39078470000
Start in 2009,,2015,38967165000
Start in 2009,,2016,38738477000
Start in 2009,,2017,38406328000
Start in 2009,,2018,37983427000
Start in 2009,,2019,37481359000
Start in 2009,,2020,36910674000
Start in 2009,,2021,36280966000
Start in 2009,,2022,35600953000
Start in 2009,,2023,34878542000
Start in 2009,,2024,34120893000.000004
Start in 2009,,2025,33334484000.000004
Start in 2009,,2026,32525157999.999996
Start in 2009,,2027,31698184000
Start in 2009,,2028,30858297000
Start in 2009,,2029,30009742000
Start in 2009,,2030,29156320000
Start in 2009,,2031,28301420000
Start in 2009,,2032,27448058000
Start in 2009,,2033,26598905000
Start in 2009,,2034,25756319000
Start in 2009,,2035,24922372000
Start in 2009,,2036,24098874000
Start in 2009,,2037,23287398000
Start in 2009,,2038,22489300000
Start in 2009,,2039,21705741000
Start in 2009,,2040,20937701000
Start in 2009,,2041,20186000000
Start in 2009,,2042,19451312000
Start in 2009,,2043,18734176000
Start in 2009,,2044,18035015000
Start in 2009,,2045,17354143000
Start in 2009,,2046,16691779000
Start in 2009,,2047,16048055999.999998
Start in 2009,,2048,15423028000
Start in 2009,,2049,14816681000
Start in 2009,,2050,14228943000
Start in 2009,,2051,13659686000
Start in 2009,,2052,13108733000
Start in 2009,,2053,12575870000
Start in 2009,,2054,12060844000
Start in 2009,,2055,11563370000
Start in 2009,,2056,11083139000
Start in 2009,,2057,10619819000
Start in 2009,,2058,10173056000
Start in 2009,,2059,9742483000
Start in 2009,,2060,9327721000
Start in 2009,,2061,8928378000
Start in 2009,,2062,8544055999.999999
Start in 2009,,2063,8174352000.000001
Start in 2009,,2064,7818860000
Start in 2009,,2065,7477169000
Start in 2009,,2066,7148872000
Start in 2009,,2067,6833561000
Start in 2009,,2068,6530831000
Start in 2009,,2069,6240279000
Start in 2009,,2070,5961509000
Start in 2009,,2071,5694128000
Start in 2009,,2072,5437751000
Start in 2009,,2073,5191999000
Start in 2009,,2074,4956498000
Start in 2009,,2075,4730885000
Start in 2009,,2076,4514803000
Start in 2009,,2077,4307902000
Start in 2009,,2078,4109844000
Start in 2009,,2079,3920297000
Start in 2009,,2080,3738937000
Start in 2009,,2081,3565452000
Start in 2009,,2082,3399537000
Start in 2009,,2083,3240896000
