MODEL,SCENARIO,REGION,variable,percent,resulttype
FARM_3.0,EMF27-Base-LowEI,ASIA,fossilco2,-0.4900065383220271,growtherror
FARM_3.0,EMF27-Base-LowEI,LAM,fossilco2,-0.8635124347443177,growtherror
FARM_3.0,EMF27-Base-LowEI,MAF,fossilco2,-1.5926734195379695,growtherror
FARM_3.0,EMF27-Base-LowEI,OECD90,fossilco2,1.0565781357809783,growtherror
FARM_3.0,EMF27-Base-LowEI,REF,fossilco2,0.5896805044100855,growtherror
FARM_3.0,EMF27-Base-LowEI,World,fossilco2,-0.04773043199146643,growtherror
GCAM 2.0,AME Reference,ASIA,fossilco2,-0.6413153970870353,growtherror
GCAM 2.0,AME Reference,LAM,fossilco2,0.5082754414352295,growtherror
GCAM 2.0,AME Reference,MAF,fossilco2,-0.30419944812165634,growtherror
GCAM 2.0,AME Reference,OECD90,fossilco2,1.615163172160227,growtherror
GCAM 2.0,AME Reference,REF,fossilco2,1.2022099145510623,growtherror
GCAM 2.0,AME Reference,World,fossilco2,0.3136954117809023,growtherror
GCAM 3.0,AMPERE2-Base-Conv-OPT,ASIA,fossilco2,0.29316066612160263,growtherror
GCAM 3.0,AMPERE2-Base-Conv-OPT,LAM,fossilco2,1.5965636667002636,growtherror
GCAM 3.0,AMPERE2-Base-Conv-OPT,MAF,fossilco2,0.16931505010432746,growtherror
GCAM 3.0,AMPERE2-Base-Conv-OPT,OECD90,fossilco2,1.7383717227029147,growtherror
GCAM 3.0,AMPERE2-Base-Conv-OPT,REF,fossilco2,1.7572926911657187,growtherror
GCAM 3.0,AMPERE2-Base-Conv-OPT,World,fossilco2,0.8573560930432429,growtherror
GCAM 3.0,AMPERE2-Base-EERE-OPT,ASIA,fossilco2,-0.2628284450583074,growtherror
GCAM 3.0,AMPERE2-Base-EERE-OPT,LAM,fossilco2,0.9093569485973463,growtherror
GCAM 3.0,AMPERE2-Base-EERE-OPT,MAF,fossilco2,-0.4067673761028021,growtherror
GCAM 3.0,AMPERE2-Base-EERE-OPT,OECD90,fossilco2,1.2010535469588361,growtherror
GCAM 3.0,AMPERE2-Base-EERE-OPT,REF,fossilco2,1.2013880151882361,growtherror
GCAM 3.0,AMPERE2-Base-EERE-OPT,World,fossilco2,0.26105652508835386,growtherror
GCAM 3.0,AMPERE2-Base-FullTech-OPT,ASIA,fossilco2,0.2137494332398342,growtherror
GCAM 3.0,AMPERE2-Base-FullTech-OPT,LAM,fossilco2,1.5216877258288193,growtherror
GCAM 3.0,AMPERE2-Base-FullTech-OPT,MAF,fossilco2,0.08045981803143709,growtherror
GCAM 3.0,AMPERE2-Base-FullTech-OPT,OECD90,fossilco2,1.696031300531636,growtherror
GCAM 3.0,AMPERE2-Base-FullTech-OPT,REF,fossilco2,1.7386305191822515,growtherror
GCAM 3.0,AMPERE2-Base-FullTech-OPT,World,fossilco2,0.795951822093359,growtherror
GCAM 3.0,AMPERE2-Base-LimBio-OPT,ASIA,fossilco2,0.21376083880748897,growtherror
GCAM 3.0,AMPERE2-Base-LimBio-OPT,LAM,fossilco2,1.5217269114991363,growtherror
GCAM 3.0,AMPERE2-Base-LimBio-OPT,MAF,fossilco2,0.08049068042729957,growtherror
GCAM 3.0,AMPERE2-Base-LimBio-OPT,OECD90,fossilco2,1.6960484966744689,growtherror
GCAM 3.0,AMPERE2-Base-LimBio-OPT,REF,fossilco2,1.7386380360166833,growtherror
GCAM 3.0,AMPERE2-Base-LimBio-OPT,World,fossilco2,0.7959692058955732,growtherror
GCAM 3.0,AMPERE2-Base-LimSW-OPT,ASIA,fossilco2,0.29314789875424285,growtherror
GCAM 3.0,AMPERE2-Base-LimSW-OPT,LAM,fossilco2,1.5965241918461763,growtherror
GCAM 3.0,AMPERE2-Base-LimSW-OPT,MAF,fossilco2,0.16929001512292707,growtherror
GCAM 3.0,AMPERE2-Base-LimSW-OPT,OECD90,fossilco2,1.7383526858548939,growtherror
GCAM 3.0,AMPERE2-Base-LimSW-OPT,REF,fossilco2,1.7572816561577533,growtherror
GCAM 3.0,AMPERE2-Base-LimSW-OPT,World,fossilco2,0.8573381200028238,growtherror
GCAM 3.0,AMPERE2-Base-LowEI-OPT,ASIA,fossilco2,-0.2842463587634052,growtherror
GCAM 3.0,AMPERE2-Base-LowEI-OPT,LAM,fossilco2,0.900656448731175,growtherror
GCAM 3.0,AMPERE2-Base-LowEI-OPT,MAF,fossilco2,-0.4083166400891409,growtherror
GCAM 3.0,AMPERE2-Base-LowEI-OPT,OECD90,fossilco2,1.1855502194845466,growtherror
